Marca;Expendeduría Euros/Cajetilla;Con Recargo Euros/Cajetilla
Element Okavango (40 g);4,1;4,7
Element Orinoco (40 g);4,1;4,7
Element Rio Grande (40 g);4,1;4,7
Element Samoon (40 g);4,1;4,7
Element Sirocco (40 g);4,1;4,7
Element Southerly Buster (40 g);4,1;4,7
Element Tennessee (40 g);4,1;4,7
Element Tigris (40 g);4,1;4,7
Element Volga (40 g);4,1;4,7
Element Volta (40 g);4,1;4,7
Element Xlokk (40 g);4,1;4,7
Element Yangtze (40 g);4,1;4,7
Element Zonda (40 g);4,1;4,7
Elixyr Ice Pipe (120 g);10;11,5
Elixyr Maxx Pipe (140 g);11,5;13,2
Elixyr Maxx Pipe (20 g);1,5;1,7
Elixyr Maxx Pipe (999 g);70;80,5
Erasmus  Amsterdam (50 g);3,75;4,3
Erasmus  Athenas (50 g);3,75;4,3
Erasmus  Berlin (50 g);3,75;4,3
Erasmus  Bruselas (50 g);3,75;4,3
Erasmus  Helsinki (50 g);3,75;4,3
Erasmus  London (50 g);3,75;4,3
Erasmus  Paris (50 g);3,75;4,3
Erasmus  Roma (50 g);3,75;4,3
Erasmus Amsterdam (200 g);11,5;13,2
Erasmus Chunky Monkey (50 g);3,75;4,3
Erasmus Engagement (50 g);3,75;4,3
Erasmus Hashtag (50 g);3,75;4,3
Erasmus Hootsuite (180 g);13,5;15,5
Erasmus Hootsuite (50 g);3,75;4,3
Erasmus Hootsuite (750 g);55;63,25
Erasmus Inbound (50 g);3,75;4,3
Erasmus Influencer (50 g);3,75;4,3
Erasmus Klout (50 g);3,75;4,3
Erasmus London (180 g);13,5;15,5
Erasmus London (200 g);11,5;13,2
Erasmus London (750 g);55;63,25
Erasmus Millennial (50 g);3,75;4,3
Erasmus Pearchill (50 g);2,95;3,4
Erasmus Photobomb (50 g);3,75;4,3
Erasmus Roma (180 g);13,5;15,5
Erasmus Roma (200 g);11,5;13,2
Erasmus Roma (750 g);55;63,25
Erasmus Timeline (50 g);3,75;4,3
Erinmore Flake Lata (50 g);10,95;12,6
Erinmore Mixture Lata (50 g);10;11,5
Ernest (100 g);6,9;7,95
Eternal Smoke Danish Goodies (50 g);2,95;3,4
Eternal Smoke Delightful Kiss (50 g);2,95;3,4
Eternal Smoke Lush Lit (50 g);2,95;3,4
Eternal Smoke Passion Lit (50 g);2,95;3,4
Eternal Smoke Red Lips (50 g);2,95;3,4
Eternal Smoke Wild Lit (50 g);2,95;3,4
Exclusiv Mixture No. 2 (50 g);5,4;6,2
Exclusiv Mixture No. 6 (50 g);5,4;6,2
Flame Flamingo (75 g);5,9;6,8
Flame Hawaii Cool (75 g);5,9;6,8
Flame Jericho (75 g);5,9;6,8
Flame Red Jumbo Bear (75 g);5,9;6,8
Flame Romeo Dream (75 g);5,9;6,8
Flame Spicy Chai (75 g);5,9;6,8
Flame Star Mix (75 g);5,9;6,8
Flame Summer Sky (75 g);5,9;6,8
Flame Tropicana Cool (75 g);5,9;6,8
Flame Vegas Love (75 g);5,9;6,8
Forever Gold Black (100 g);9,5;10,9
Forever Gold Black (200 g);18,5;21,3
Forever Gold Black (50 g);4,85;5,6
Forever Gold Black After (200 g);19,5;22,4
Forever Gold Black American Gangster (200 g);19,5;22,4
Forever Gold Black Evil Witch (200 g);19,5;22,4
Forever Gold Black Evil Witch (50 g);5,15;5,9
Forever Gold Black Little Ghost (200 g);19,5;22,4
Forever Gold Black Pinkman (200 g);19,5;22,4
Forever Gold Border (200 g);18,5;21,3
Forever Gold Border (50 g);4,85;5,6
Forever Gold Border Edición Limitada (50 g);4,85;5,6
Forever Gold Budapest With Love (200 g);18,5;21,3
Forever Gold Budapest With Love (50 g);4,85;5,6
Forever Gold Crazy Izu (200 g);18,5;21,3
Forever Gold Crazy Izu (50 g);4,85;5,6
Forever Gold Dark Blue (100 g);9,5;10,9
Forever Gold Dark Blue (200 g);18,5;21,3
Forever Gold Dark Blue (50 g);4,85;5,6
Forever Gold Drácula (200 g);18,5;21,3
Forever Gold Drácula (50 g);4,85;5,6
Forever Gold Dragon Daddy (200 g);18,5;21,3
Forever Gold Dragon Daddy (50 g);4,85;5,6
Forever Gold Escape Room (200 g);18,5;21,3
Forever Gold Escape Room (50 g);4,85;5,6
Forever Gold Fantasy (200 g);18,5;21,3
Forever Gold Fantasy (50 g);4,85;5,6
Forever Gold Faruk & Farik (200 g);18,5;21,3
Forever Gold Faruk&Farik (50 g);4,85;5,6
Forever Gold Flowers (200 g);18,5;21,3
Forever Gold Flowers (50 g);4,85;5,6
Forever Gold Freak (200 g);18,5;21,3
Forever Gold Freak (50 g);4,85;5,6
Forever Gold Galben (100 g);9,5;10,9
Forever Gold Galben (200 g);18,5;21,3
Forever Gold Galben (50 g);4,85;5,6
Forever Gold Go with The Flow (200 g);18,5;21,3
Forever Gold Go with The Flow (50 g);4,85;5,6
Forever Gold Green (100 g);9,5;10,9
Forever Gold Green (200 g);18,5;21,3
Forever Gold Green (50 g);4,85;5,6
Forever Gold Heaven (200 g);18,5;21,3
Forever Gold Heaven (50 g);4,85;5,6
Forever Gold Hurricane (200 g);18,5;21,3
Forever Gold Hurricane (50 g);4,85;5,6
Forever Gold Island (200 g);18,5;21,3
Forever Gold Island (50 g);4,85;5,6
Forever Gold Kekoko (200 g);18,5;21,3
Forever Gold Kekoko (50 g);4,85;5,6
Forever Gold Lemshock (200 g);19,5;22,4
Forever Gold Lemshock (50 g);5,15;5,9
Forever Gold Monkey (200 g);18,5;21,3
Forever Gold Monkey (50 g);4,85;5,6
Forever Gold Monkey Edición Limitada (50 g);4,85;5,6
Forever Gold Mow (100 g);9,5;10,9
Forever Gold Mow (200 g);18,5;21,3
Forever Gold Mow (50 g);4,85;5,6
Forever Gold Oh La Lá (200 g);18,5;21,3
Forever Gold Oh La Lá (50 g);4,85;5,6
Forever Gold Oh La Lá Edición Limitada (50 g);4,85;5,6
Forever Gold Piggy BBQ Bangkok (200 g);18,5;21,3
Forever Gold Piggy BBQ Bangkok (50 g);4,85;5,6
Forever Gold Pinkman By Love (50 g);4,85;5,6
Forever Gold Pinkman By Love 78 (200 g);18,5;21,3
Forever Gold Plum (100 g);9,5;10,9
Forever Gold Plum (200 g);18,5;21,3
Forever Gold Plum (50 g);4,85;5,6
Forever Gold Purple (100 g);9,5;10,9
Forever Gold Purple (200 g);18,5;21,3
Forever Gold Purple (50 g);4,85;5,6
Forever Gold Rakka (200 g);18,5;21,3
Forever Gold Rakka (50 g);4,85;5,6
Forever Gold Red Code (200 g);18,5;21,3
Forever Gold Red Code (50 g);4,85;5,6
Forever Gold Russet (100 g);9,5;10,9
Forever Gold Russet (200 g);18,5;21,3
Forever Gold Russet (50 g);4,85;5,6
Forever Gold Secret History (200 g);18,5;21,3
Forever Gold Secret History (50 g);4,85;5,6
Forever Gold Space (200 g);18,5;21,3
Forever Gold Space (50 g);4,85;5,6
Forever Gold Storm Jazz Music (200 g);21,4;24,6
Forever Gold Storm Jazz Music (50 g);5,6;6,45
Forever Gold Storm Jess Pirate (200 g);21,4;24,6
Forever Gold Storm Jess Pirate (50 g);5,6;6,45
Forever Gold Storm Pinkman (200 g);21,4;24,6
Forever Gold Storm Pinkman (50 g);5,6;6,45
Forever Gold Storm The Cave (200 g);21,4;24,6
Forever Gold Storm The Cave (50 g);5,6;6,45
Forever Gold Timothy (200 g);18,5;21,3
Forever Gold Timothy (50 g);4,85;5,6
Forever Gold Wake Up (200 g);18,5;21,3
Forever Gold Wake Up (50 g);4,85;5,6
Forever Gold White Night (200 g);18,5;21,3
Forever Gold White Night (50 g);4,85;5,6
Forever Secret History Edición Limitada (50 g);4;4,6
Frérot (1000 g);66,5;76,5
Frérot (120 g);10,05;11,55
Frérot (30 g);2,65;3,05
Frérot (500 g);39,99;46
Fribourg & Treyer 34th Mixture (50 g);18,4;21,15
Fribourg & Treyer Cut Virginia Plug (Flake) (50 g);21,2;24,4
Fribourg & Treyer Special Brown Flake (50 g);24,5;28,2
Fribourg & Treyer Vintage (Flake) (50 g);21,95;25,25
Fribourg & Treyer Waterloo 2 (50 g);18,95;21,8
Fribourg & Treyer Wingate Mixture (50 g);18,95;21,8
Fumari Amorosa (100 g);12;13,8
Fumari Amorosa (200 g);12;13,8
Fumari Amorosa (50 g);3,5;4
Fumari Belgian Chill (100 g);12;13,8
Fumari Bubba Chill (200 g);12;13,8
Fumari Bubba Chill (50 g);3,5;4
Fumari Carmella Kiss (200 g);12;13,8
Fumari Carmella Kiss (50 g);3,5;4
Fumari Ceylon Chi (100 g);12;13,8
Fumari Ceylon Chi (200 g);12;13,8
Fumari Ceylon Chi (50 g);3,5;4
Fumari Golden West (100 g);12;13,8
Fumari Island Playa (100 g);12;13,8
Fumari Lumin Freeze (100 g);12;13,8
Fumari Maison Bleu (100 g);12;13,8
Fumari Maison Bleu (200 g);12;13,8
Fumari Maison Bleu (50 g);3,5;4
Fumari Original WGB (200 g);12;13,8
Fumari Original WGB (50 g);3,5;4
Fumari Original White Bear (100 g);12;13,8
Fumari Prickly Oasis (100 g);12;13,8
Fumari Scarlet Gem (200 g);12;13,8
Fumari Scarlet Gem (50 g);3,5;4
Fumari Sitra Chill (200 g);12;13,8
Fumari Sitra Chill (50 g);3,5;4
Fumari Sorrentocello (100 g);12;13,8
Fumari Tango Melange (100 g);12;13,8
Fumari Via Lattea (100 g);12;13,8
Fumari Wild Beach (100 g);12;13,8
G.L. Pease Cairo (57 g);44;50,6
G.L. Pease Odissey (57 g);44;50,6
G.L. Pease Quiet Nights (57 g);44;50,6
G.L. Pease Spark Plug (57 g);44;50,6
G.L. Pease Union Square (57 g);44;50,6
G.L. Pease Westminster (57 g);44;50,6
G.L. Pease Windjammer (57 g);44;50,6
Gladora Pesse Canoe Tin Blue Pearl (50 g);14,5;16,7
Gladora Pesse Canoe Tin Neon Pearl (50 g);14,5;16,7
Gladora Pesse Canoe Tin Purple Pearl (50 g);14,5;16,7
Gladora Tobacco Pesse Canoe Brown (50g);8,9;10,25
Gladora Tobacco Pesse Canoe Red (50g);8,9;10,25
Gladora Tobacco Pesse Canoe Tin Latakia Flake #20 (50g);14,6;16,8
Gladora Tobacco Pesse Canoe Tin Latakia Flake #40 (50g);14,9;17,15
Gladora Tobacco Pesse Canoe Tin Oriental Flake (50g);14,3;16,45
Gladora Tobacco Pesse Canoe Yellow (50g);8,9;10,25
Golden Blend S Amaretto (50 g);4,1;4,7
Golden Blend's Nº 1 (50 g);5,2;6
Half & Half (50 g);7,8;8,95
Hampton (20 g);1,7;1,95
Hampton (30 g);2,65;3,05
Hampton Max (25 g);2,3;2,65
Hampton Max (35 g);3,75;4,3
Hampton Max (90 g);7,5;8,6
Hampton Pipe Green (12 g);1,15;1,3
Hampton Pipe Negro (100 g);9;10,35
Hampton Pipe Negro (30 g);2,9;3,35
Hampton Pipe's Tobacco (150 g);11,5;13,2
Hampton Pipe's Tobacco (60 g);5,35;6,15
Hampton Pure Pipe (10 g);1;1,15
Hampton Pure Pipe (12 g);1,1;1,25
Hampton's Pipe Green (30 g);3,3;3,8
Hater Cheater (50 g);3,5;4
Hater Fan Boy (50 g);3,5;4
Hater Hype (50 g);3,95;4,55
Hater Noob (50 g);3,5;4
Hater Omg (50 g);3,95;4,55
Hater Rat Boy (50 g);3,5;4
Hater Shooter (50 g);3,5;4
Hater Wtf (50 g);3,5;4
Haze Banarama (200 g);17,5;20,1
Haze Banarama (50 g);4,8;5,5
Haze Chaitastic (200 g);17,5;20,1
Haze Chaitastic (50 g);4,8;5,5
Haze Cotton Clouds (200 g);17,5;20,1
Haze Cotton Clouds (50 g);4,8;5,5
Haze Double Bubble (200 g);17,5;20,1
Haze Double Bubble (50 g);4,8;5,5
Haze Frozz Lakes (200 g);17,5;20,1
Haze Frozz Lakes (50 g);4,8;5,5
Haze Line It Up (200 g);17,5;20,1
Haze Line It Up (50 g);4,8;5,5
Haze Nice Dreams (200 g);17,5;20,1
Haze Nice Dreams (50 g);4,8;5,5
Haze Oh Boy Explosion (200 g);17,5;20,1
Haze Oh Boy Explosion (50 g);4,8;5,5
Haze Ohh Chata (200 g);17,5;20,1
Haze Ohh Chata (50 g);4,8;5,5
Haze Pacoca (200 g);17,5;20,1
Haze Pacoca (50 g);4,8;5,5
Haze Pine Krush (200 g);17,5;20,1
Haze Pine Krush (50 g);4,8;5,5
Haze Pump King Pleasure (200 g);17,5;20,1
Haze Pump King Pleasure (50 g);4,8;5,5
Haze Purple Krush (200 g);17,5;20,1
Haze Purple Krush (50 g);4,8;5,5
Haze Qcumberita (200 g);17,5;20,1
Haze Qcumberita (50 g);4,8;5,5
Haze Sinful (200 g);17,5;20,1
Haze Sinful (50 g);4,8;5,5
Haze Squeeze Yellow (200 g);17,5;20,1
Haze Squeeze Yellow (50 g);4,8;5,5
Haze Subzero (200 g);17,5;20,1
Haze Subzero (50 g);4,8;5,5
Haze Wam (200 g);17,5;20,1
Haze Wam (50 g);4,8;5,5
Holger Danske Amber Magic (40 g);3,9;4,5
Holger Danske Black and B. (50 g);5,65;6,5
Holger Danske Golden Harmony (50 g);4,5;5,2
Holger Danske Original Tobacco (40 g);3,9;4,5
Holger Danske Ruby Melange (50 g);4,5;5,2
Holger Danske Sunny Delight (50 g);4,5;5,2
Holster Blody Punch (200 g);17,95;20,65
Holster Blody Punch (50 g);4,8;5,5
Holster Blue Punch (200 g);17,95;20,65
Holster Blue Punch (50 g);4,8;5,5
Holster Bono (200 g);17,95;20,65
Holster Bono (50 g);4,8;5,5
Holster GP 2.0 Classic (200 g);17,95;20,65
Holster GP 2.0 Classic (50 g);4,8;5,5
Holster IZ Bomb (200 g);17,95;20,65
Holster Iz Bomb (50 g);4,8;5,5
Holster Iz Finger (200 g);17,95;20,65
Holster Iz Finger (50 g);4,8;5,5
Holster IZ Kactuz (200 g);17,95;20,65
Holster Iz Kactuz (50 g);4,8;5,5
Holster Iz Kaktuz (975 g);67;77,05
Holster Iz Kaktuz (995 g);86;98,9
Holster Lee Punch (200 g);17,95;20,65
Holster Lee Punch (50 g);4,8;5,5
Holster Miss Joosy (200 g);17,95;20,65
Holster Miss Joosy (50 g);4,8;5,5
Holster Miss Joosy (975 g);67;77,05
Holster Miss Joosy (995 g);86;98,9
Holster MR John (200 g);17,95;20,65
Holster MR John (50 g);4,8;5,5
Holster Mr. C (200 g);17,95;20,65
Holster Mr. C (50 g);4,8;5,5
Holster Noir Charly Punch (200 g);20,95;24,1
Holster Noir Charly Punch (50 g);5,5;6,3
Holster Noir Iz Kaktuz (200 g);20,95;24,1
Holster Noir Iz Kaktuz (50 g);5,5;6,3
Holster Noir Miss Joosy (200 g);20,95;24,1
Holster Noir Miss Joosy (50 g);5,5;6,3
Holster Peery Munch (200 g);17,95;20,65
Holster Peery Punch (200 g);17,95;20,65
Holster Peery Punch (50 g);4,8;5,5
Holster P-Rex (200g);17,95;20,65
Holster P-Rex (50g);4,8;5,5
Holster Qumi Punch (200 g);17,95;20,65
Holster Qumi Punch (50 g);4,8;5,5
Holster Qumi Punch (975 g);67;77,05
Holster Qumi Punch (995 g);86;98,9
Holster Smurf Daddy (200 g);17,95;20,65
Holster Smurf Daddy (50 g);4,8;5,5
Holster Unicorn (200 g);17,95;20,65
Holster Unicorn (50 g);4,8;5,5
Holster Verdacho (200 g);17,95;20,65
Holster Verdacho (50 g);4,8;5,5
Holster Wild Punch (200 g);17,95;20,65
Holster Wild Punch (50 g);4,8;5,5
Holster Willy Punch (200 g);17,95;20,65
Holster Willy Punch (50 g);4,8;5,5
Holster Winter Edition (200 g);17,95;20,65
Holster Winter Edition (50 g);4,8;5,5
Holster Yellow Punch (200 g);17,95;20,65
Holster Yellow Punch (50 g);4,8;5,5
Hookain American Pei (50 g);4,8;5,5
Hookain Angry Dragon (200 g);16,95;19,5
Hookain Angry Dragon (50 g);4,8;5,5
Hookain Angry Green Dragon (200 g);16,95;19,5
Hookain Angry Green Dragon (50 g);4,8;5,5
Hookain Angry Piç Dragon (200 g);16,95;19,5
Hookain Angry Piç Dragon (50 g);4,8;5,5
Hookain Angry Red Dragon (200 g);16,95;19,5
Hookain Angry Red Dragon (50 g);4,8;5,5
Hookain Bär Lean (50 g);3,95;4,55
Hookain Big Black Barries (200 g);16,95;19,5
Hookain Big Black Barries (50 g);4,8;5,5
Hookain Black Fellatio (200 g);18,5;21,3
Hookain Black Fellatio (50 g);5,7;6,55
Hookain Black Kaffa Yayo (200 g);18,5;21,3
Hookain Black Kaffa Yayo (50 g);5,7;6,55
Hookain Black Soleiro Spliff (200 g);18,5;21,3
Hookain Black Soleiro Spliff (50 g);5,7;6,55
Hookain Black White (200 g);18,5;21,3
Hookain Black White (50 g);5,7;6,55
Hookain Black Zenta Schox (200 g);18,5;21,3
Hookain Black Zenta Schox (50 g);5,7;6,55
Hookain Blaze Baba Gamma (50 g);4,95;5,7
Hookain Blaze Batluva (50 g);4,95;5,7
Hookain Blaze Koka Koala (50 g);4,95;5,7
Hookain Blaze Lym Hype (50 g);4,95;5,7
Hookain Blaze Nana (50 g);4,95;5,7
Hookain Blaze White Heaven (50 g);4,95;5,7
Hookain Blowtus (200 g);16,95;19,5
Hookain Blowtus (50 g);4,8;5,5
Hookain Bubblenciaga (200 g);16,95;19,5
Hookain Bubblenciaga (50 g);4,8;5,5
Hookain C C C (200 g);16,95;19,5
Hookain Cactopus (50 g);4,8;5,5
Hookain Cheri Zkittlez (50 g);4,8;5,5
Hookain Code in Love (50 g);4,8;5,5
Hookain Cotton Cndy Craem (50 g);4,8;5,5
Hookain Dubai Stachio (200 g);16,95;19,5
Hookain Dubai Stachio (50 g);4,8;5,5
Hookain Eyez Kalt (50 g);4,8;5,5
Hookain Fellatio (200 g);13,8;15,85
Hookain Fellatio (50 g);4,8;5,5
Hookain Fyl Big Toy (200 g);16,95;19,5
Hookain Fyl Big Toy (50 g);4,8;5,5
Hookain Fyl Cactuz CNDY (200 g);16,95;19,5
Hookain Fyl Cactuz Cndy (50 g);4,8;5,5
Hookain Fyl Clitrus (200 g);16,95;19,5
Hookain Fyl Clitrus (50 g);4,8;5,5
Hookain Fyl Über (200 g);16,95;19,5
Hookain Fyl Über (50 g);4,8;5,5
Hookain Green Crack (50 g);4,8;5,5
Hookain Green Lean (200 g);16,95;19,5
Hookain Green Lean (50 g);4,8;5,5
Hookain Hijo de Prut (50 g);4,8;5,5
Hookain Jizzy Pia (50 g);4,8;5,5
Hookain Kaffa Yayo (200 g);16,95;19,5
Hookain Kaffa Yayo (50 g);4,8;5,5
Hookain Kaffa Yayo (950 g);75;86,25
Hookain Kivy King (50 g);4,8;5,5
Hookain Kw King (200 g);16,95;19,5
Hookain Laoz (200 g);16,95;19,5
Hookain Laoz (50 g);4,8;5,5
Hookain Lemenciaga (200 g);16,95;19,5
Hookain Lemenciaga (50 g);4,8;5,5
Hookain Lemenciaga (950 g);75;86,25
Hookain Mega Loco (50 g);4,8;5,5
Hookain Millionair (50 g);4,8;5,5
Hookain Original Vanta Zotic (50 g);4,8;5,5
Hookain Orog!na (50 g);3,95;4,55
Hookain Pa Ya Mongo (50 g);3,95;4,55
Hookain Pic Zkittlez (50 g);3,95;4,55
Hookain Pink Lemenciaga (200 g);13,8;15,85
Hookain Pink Lemenciaga (50 g);4,8;5,5
Hookain Punani (50 g);4,8;5,5
Hookain Sm!nt (50 g);4,8;5,5
Hookain Soleiro Spliff (50 g);4,8;5,5
Hookain Spiced Lean (50 g);3,95;4,55
Hookain Swii Ti (50 g);4,8;5,5
Hookain Vantanaz (200 g);13,8;15,85
Hookain Vantanaz (50 g);3,95;4,55
Hookain Virgin Batluva (50 g);4,8;5,5
Hookain White (200 g);16,95;19,5
Hookain White (50 g);4,8;5,5
Hookain White (950 g);75;86,25
Hookain White Brown (200 g);16,95;19,5
Hookain White Brown (50 g);4,8;5,5
Hookain White Caek Alman (200 g);16,95;19,5
Hookain White Caek Alman (50 g);4,8;5,5
Hookain X-Treme Blue Bay (50 g);4,8;5,5
Hookain Zenter Schox (50 g);4,8;5,5
Indian Summer (50 g);7,7;8,85
Inferno Angel Vice (200 g);18,5;21,3
Inferno Angel Vice (50 g);4,95;5,7
Inferno Demon Kiss (200 g);18,5;21,3
Inferno Demon Kiss (50 g);4,95;5,7
Inferno Elysira (200 g);18,5;21,3
Inferno Elysira (50 g);4,95;5,7
Inferno Luciferum (200 g);18,5;21,3
Inferno Luciferum (50 g);4,95;5,7
Inferno Skyfall (200 g);18,5;21,3
Inferno Skyfall (50 g);4,95;5,7
Jockey Original Red (20 g);1,7;1,95
Jockey Original Red (200 g);14,4;16,55
Kaja 3. 14 CH (100 g);15,95;18,35
Kaja Ana's Azz (100 g);15,95;18,35
Kaja Bantastic (100 g);15,95;18,35
Kaja Bbry (100 g);15,95;18,35
Kaja Bknt (100 g);15,95;18,35
Kaja Brain Freeze (100 g);15,95;18,35
Kaja C Trick (100 g);15,95;18,35
Kaja Ch Nerro (100 g);15,95;18,35
Kaja Ch Rosso (100 g);15,95;18,35
Kaja Ch Verde (100 g);15,95;18,35
Kaja Cold Ruby (100 g);15,95;18,35
Kaja Ginguzu (100 g);15,95;18,35
Kaja Green & Hairy (100 g);15,95;18,35
Kaja Jmpricot (100 g);15,95;18,35
Kaja Kernamel (100 g);15,95;18,35
Kaja La Passion (100 g);15,95;18,35
Kaja Mndarling (100 g);15,95;18,35
Kaja Prdise (100 g);15,95;18,35
Kaja Rari (100 g);15,95;18,35
Kaja Stwi (100 g);15,95;18,35
Kalout Big Bear (50 g);2,95;3,4
Kalout Blue Kiss (50 g);2,95;3,4
Kalout FML (50 g);2,95;3,4
Kalout Freedom (50 g);2,95;3,4
Kalout Go Black (50 g);2,95;3,4
Kalout Green X (50 g);2,95;3,4
Kalout Ice Age (50 g);2,95;3,4
Kalout Pearchill (50 g);2,95;3,4
Kendal Gold By Gawith, Hoggarth & Co (50 g);17,9;20,6
Kendal Mixed By Gawith, Hoggarth & Co (50 g);17,9;20,6
Kentucky Bird (50 g);6,9;7,95
Keops Original Blend (100 g);7,6;8,75
Keops Pipe Tobacco (65 g);4,55;5,25
Keops Pipe Tobacco American Blend (100 g);7,8;8,95
Keops Pipe Tobacco American Blend (50 g);3,5;4
Keops Pipe Tobacco Negro (100 g);7,8;8,95
Keops Pipe Tobacco Negro (50 g);3,5;4
Khaleej 66 Love (40 g);2,4;2,75
Khaleej BBL Viridis (40 g);2,4;2,75
Khaleej BBL Wud (40 g);2,4;2,75
Khaleej BLK Vitis (40 g);2,4;2,75
Khaleej Eskimo Viridis (40 g);2,4;2,75
Khaleej Luz de Luna (40 g);2,4;2,75
Khaleej Pearl (40 g);2,4;2,75
Kingston Red (10 g);1;1,15
Kingston Red (100 g);8,2;9,45
Kingston Red Pipa (55 g);3,95;4,55
Kiowa (80 g);3,2;3,7
Kiowa Natural (30 g);1,1;1,25
Kiowa Pipe's Tobacco Classic Mixture (80 g);6,7;7,7
Kismet 01-Black Violet (200 g);21,3;24,5
Kismet 01-Black Violet (50 g);5,55;6,4
Kismet 02-Black & Soft Red (200 g);21,3;24,5
Kismet 02-Black & Soft Red (50 g);5,55;6,4
Kismet 11-Funny Black (200 g);21,3;24,5
Kismet 11-Funny Black (50 g);5,55;6,4
Kismet 12-Black Beach (200 g);21,3;24,5
Kismet 12-Black Beach (50 g);5,55;6,4
Kismet 15-Black Angel (200 g);21,3;24,5
Kismet 15-Black Angel (50 g);5,55;6,4
Kismet 17-Good Friend (200 g);21,3;24,5
Kismet 17-Good Friend (50 g);5,55;6,4
Kismet 21-Black Rose (200 g);21,3;24,5
Kismet 21-Black Rose (50 g);5,55;6,4
Kismet 22-Black Wood (200 g);21,3;24,5
Kismet 22-Black Wood (50 g);5,55;6,4
Kismet 26-Black Maïa (200 g);21,3;24,5
Kismet 26-Black Maïa (50 g);5,55;6,4
Kismet 27-Black & Greenlight (200 g);21,3;24,5
Kismet 27-Black & Greenlight (50 g);5,55;6,4
Kismet 33-Black Bella (200 g);21,3;24,5
Kismet 33-Black Bella (50 g);5,55;6,4
Kismet 42-Black Maroon (200 g);21,3;24,5
Kismet 42-Black Maroon (50 g);5,55;6,4
Kismet 44-Black Kimi (200 g);21,3;24,5
Kismet 44-Black Kimi (50 g);5,55;6,4
Kooliche (200 g);11;12,65
La Oveja Negra (25 g);1,9;2,2
La Oveja Negra (40 g);3;3,45
La Oveja Negra (70 g);5,1;5,85
La Oveja Negra Brown (100 g);6,9;7,95
La Oveja Negra Brown (20 g);1,55;1,8
La Pinta pipa lata (70 g);4,95;5,7
La Tribu 150 Gr. XXL (150 g);11,1;12,75
La Tribu Exclusive Mixture (100 g);7,6;8,75
La Tribu Exclusive Mixture (20 g);1,7;1,95
La Tribu Exclusive Mixture (50 g);3,9;4,5
Layalina 1001 Nights (50 g);3;3,45
Layalina Blackberry(50 g);3;3,45
Layalina Blueberry Melon (50 g);3;3,45
Layalina Breeze (50 g);3;3,45
Layalina Cherry Cola (50 g);3;3,45
Layalina Double Apple (50 g);3;3,45
Layalina Enab (50 g);3;3,45
Layalina Flamenco (50 g);3;3,45
Layalina Florida (50 g);3;3,45
Layalina Gum (50 g);3;3,45
Layalina Gum Cinnamon (50 g);3;3,45
Layalina Kiwi Strawberry (50 g);3;3,45
Layalina Lemon Mint (50 g);3;3,45
Layalina Mania (50 g);3;3,45
Layalina Ocean Heaven (50 g);3;3,45
Layalina Passion Melon (50 g);3;3,45
Layalina Peach (50 g);3;3,45
Layalina Raspberry Lemon (50 g);3;3,45
Layalina Strawberry (50 g);3;3,45
Layalina Watermelon (50 g);3;3,45
Le Baron (100 g);6,9;7,95
Le Baron (150 g);10,5;12,1
Le Baron (30 g);2,5;2,9
Le Baron Menthol (30 g);2,5;2,9
Le Baron Vanilla (30 g);2,5;2,9
Lince Tabaco de Pipa (50 g);4;4,6
Lince Tabaco de pipa bolsa (50 g);4;4,6
Lince Tabaco de pipa bolsa (80 g);6,4;7,35
Look Out Red (20 g);1,4;1,6
Look Out Yellow (20 g);1,4;1,6
Mac Baren 7 Seas Essential Virginia Blend (40 g);2,9;3,35
Mac Baren 7 Seas Gold Blend (40 g);4,1;4,7
Mac Baren 7 Seas Original Blend (20 g);2;2,3
Mac Baren 7 Seas Original Blend (40 g);3,5;4
Mac Baren 7 Seas Regular Blend (40 g);4,1;4,7
Mac Baren 7 Seas Royal Blend (40 g);4,1;4,7
Mac Baren Absolute Choice (40 g);7,5;8,6
Mac Baren Classic Loose Cut (100 g);17,8;20,45
Mac Baren Classic Loose Cut (50 g);7,8;8,95
Mac Baren Cube Premium Pipe Tobacco Gold (40 g);5,2;6
Mac Baren Cube Premium Pipe Tobacco Silver (40 g);5,2;6
Mac Baren Golden Ambrosia (50 g);8;9,2
Mac Baren HH Vintage Latakia (100 g);17,8;20,45
Mac Baren Mixture (100 g);17,8;20,45
Mac Baren Mixture (50 g);7,7;8,85
Mac Baren Mixture Edición Limitada (50 g);6,5;7,5
Mac Baren Mixture Flake (50 g);6;6,9
Mac Baren Mixture Moderm (50 g);5,5;6,3
Mac Baren Original Choice (100 g);17,9;20,6
Mac Baren Original Choice (40 g);7,5;8,6
Mac Baren Red Ambrosia (50 g);8;9,2
Mac Baren Royal Twist (100 g);25,5;29,3
Mac Baren Seven Seas Blue Blend (40 g);2,8;3,2
Mac Baren Seven Seas Blue Blend (70 g);6;6,9
Mac Baren Seven Seas Bright Blend (40 g);3,5;4
Mac Baren Seven Seas Bright Blend (70 g);6;6,9
Mac Baren Seven Seas Original Blend (70 g);6;6,9
Mac Baren Supreme Choice (40 g);7,5;8,6
Mac Baren Virginia Flake (50 g);10,9;12,55
Mac Lintock Black C. (100 g);11;12,65
Mac Lintock Black C. (50 g);5,5;6,3
Mac Lintock Wild C. (100 g);11;12,65
