Marca;Expendeduría Euros/Cajetilla;Con Recargo Euros/Cajetilla
Tangiers 57 (250 g);35;40,25
Tangiers 58 (250 g);35;40,25
Tangiers 59 (250 g);35;40,25
Tangiers 6 (250 g);35;40,25
Tangiers 62 (250 g);35;40,25
Tangiers 63 (250 g);35;40,25
Tangiers 69 (250 g);35;40,25
Tangiers 74 (250 g);35;40,25
Tangiers 76 (250 g);35;40,25
Tangiers 77 (250 g);35;40,25
Tangiers 78 (250 g);35;40,25
Tangiers 8 (250 g);35;40,25
Tangiers 87 (250 g);35;40,25
Tangiers 9 (250 g);35;40,25
Tangiers 90 (250 g);35;40,25
Tangiers 92 (250 g);35;40,25
Tangiers 93 (250 g);35;40,25
Tangiers 94 (250 g);35;40,25
Tangiers 96 (250 g);35;40,25
Tangiers 96a (250 g);35;40,25
Tarifa Shisha Africa Tropical (50 g);3,5;4
Tarifa Shisha Arctic Flow (50 g);3,5;4
Tarifa Shisha Bikini (50 g);3,5;4
Tarifa Shisha Dembow (50 g);3,5;4
Tarifa Shisha Dragon Kahn (50 g);3,5;4
Tarifa Shisha Estampida (50 g);3,5;4
Tarifa Shisha Granny (50 g);3,5;4
Tarifa Shisha Malone (50 g);3,5;4
Tarifa Shisha Pecado (50 g);3,5;4
Texas Republic Special Mixture (60 g);4,2;4,85
Texas Republic Special Mixture (85 g);5,95;6,85
Tilbury Nº 1 (25 g);2,1;2,4
Tilbury Nº 1 (90 g);7,2;8,3
Tipsy Aqua de Luna (200g);14,5;16,7
Tipsy Aqua de Luna (50g);3,85;4,45
Tipsy Berserk Red (200g);14,5;16,7
Tipsy Berserk Red (50g);3,85;4,45
Tipsy Summer Love (200g);14,5;16,7
Tipsy Summer Love (50g);3,85;4,45
Tipsy Viva la Fiesta (200g);14,5;16,7
Tipsy Viva la Fiesta (50g);3,85;4,45
Titanium Alaska (100 g);9,5;10,9
Titanium Dallas (100 g);9,5;10,9
Titanium Dortmund (100 g);9,5;10,9
Titanium Florida (100 g);9,5;10,9
Titanium Frankfurt (100 g);9,5;10,9
Titanium Hookah Tobacco Alabama (100 g);9,5;10,9
Titanium Hookah Tobacco Colorado (100 g);9,5;10,9
Titanium Hookah Tobacco Delaware (100 g);9,5;10,9
Titanium Hookah Tobacco Kansas (100 g);9,5;10,9
Titanium Hookah Tobacco Missouri (100 g);9,5;10,9
Titanium Hookah Tobacco Montana (100 g);9,5;10,9
Titanium Hookah Tobacco New Mexico (100 g);9,5;10,9
Titanium Hookah Tobacco New York (100 g);9,5;10,9
Titanium Hookah Tobacco Ohio (100 g);9,5;10,9
Titanium Hookah Tobacco Texas (100 g);9,5;10,9
Titanium Indiana (100 g);9,5;10,9
Titanium Michigan (100 g);9,5;10,9
Titanium SPL (200 g);18;20,7
Titanium Stuttgart (100 g);9,5;10,9
Torres Bauhaus (50 g);3,5;4
Torres Belle Epoque (50 g);3,5;4
Torres Guardian of Freedom 1968 (50 g);3,5;4
Torres Pop Art (50 g);3,5;4
Torres Surre (50 g);3,5;4
Torres Toro (50 g);3,5;4
Torres Urban Bull (50 g);3,5;4
Torres Vinci (50 g);3,5;4
Touareg (40 g);2,8;3,2
Touareg (60 g);5;5,75
Trébol (50 g);3,8;4,35
Trébol Tabaco de  Pipa (80 g);7;8,05
Trifecta L'Emont Me (50 g);3,95;4,55
Trifecta Me Lone Melanje (50 g);3,95;4,55
Trifecta Moro Zest (50 g);3,95;4,55
Trifecta Pum King Something (50 g);3,95;4,55
Trifecta Ruby (50 g);3,95;4,55
Trifecta Serendipity (50 g);3,95;4,55
Trifecta Supernova (50 g);3,95;4,55
Trifecta Vertigo (50 g);3,95;4,55
Troost Black Cavendish (50 g);2,7;3,1
Troost Special (50 g);2,7;3,1
Trucco Special Mixture (30 g);2,4;2,75
Trucco Special Mixture (60 g);4,8;5,5
Trucco Special Mixture (85 g);6,9;7,95
True Passion Artic Line (50 g);3,1;3,55
True Passion Cinderella (50 g);3,1;3,55
True Passion Daf (200 g);11,95;13,75
True Passion Daf (50 g);3,1;3,55
True Passion Daf (950 g);49,95;57,45
True Passion Le Chill (50 g);3,1;3,55
True Passion Love Story (200 g);11,95;13,75
True Passion Love Story (50 g);3,1;3,55
True Passion Love Story (950 g);49,95;57,45
True Passion Okolom Original (50 g);3,1;3,55
True Passion Pure Green (200 g);11,95;13,75
True Passion Pure Green (50 g);3,1;3,55
True Passion Pure Green (950 g);49,95;57,45
True Passion Ringle Rangle (50 g);3,1;3,55
True Passion Summer Breeze (200 g);11,95;13,75
True Passion Summer Breeze (50 g);3,1;3,55
True Passion Vaja Blue (50 g);3,1;3,55
Van Dijck Mixture (50 g);2;2,3
Vipo Hookah Tobacco Apocalypse (50 g);2,9;3,35
Vipo Hookah Tobacco Blue Green Ribbon (100 g);6,99;8,05
Vipo Hookah Tobacco Blue Ribbon (100 g);6,99;8,05
Vipo Hookah Tobacco Crazy Dush (50 g);2,9;3,35
Vipo Hookah Tobacco C-Shill (100 g);6,99;8,05
Vipo Hookah Tobacco Double Double (50 g);2,9;3,35
Vipo Hookah Tobacco Green Ribbon (100 g);6,99;8,05
Vipo Hookah Tobacco Heavens's Love (50 g);2,9;3,35
Vipo Hookah Tobacco La Bocanada (50 g);2,9;3,35
Vipo Hookah Tobacco Love 69 (100 g);6,99;8,05
Vipo Hookah Tobacco Love 69 (50 g);2,9;3,35
Vipo Hookah Tobacco Love Me-Not  (50 g);2,9;3,35
Vipo Hookah Tobacco Mount Etna (50 g);2,9;3,35
Vipo Hookah Tobacco Pink Ribbon (100 g);6,99;8,05
Vipo Hookah Tobacco Pink Ribbon (50 g);2,9;3,35
Vipo Hookah Tobacco Rainbow Shocker (50 g);2,9;3,35
Vipo Hookah Tobacco Red Lava (50 g);2,9;3,35
Vipo Hookah Tobacco Red Ribbon (100 g);6,99;8,05
Vipo Hookah Tobacco Sandy Beach (100 g);6,99;8,05
Vipo Hookah Tobacco Snow Dash (50 g);2,9;3,35
Vipo Hookah Tobacco Sumbawa (50 g);2,9;3,35
Vipo Hookah Tobacco Tango Twist (50 g);2,9;3,35
Vipo Hookah Tobacco T-Max (100 g);6,99;8,05
Vipo Hookah Tobacco T-Max (50 g);2,9;3,35
Vipo Hookah Tobacco Wavy Winds (50 g);2,9;3,35
Vipo Hookah Tobacco Winter Toss (50 g);2,9;3,35
Vipo Hookah Tobacco Xoxo (100 g);6,99;8,05
Vipo Hookah Tobacco Xoxo (50 g);2,9;3,35
Vipo Hookah Tobacco Yelow Stone (50 g);2,9;3,35
Vipo Hookah Tobacco Zero Lift (50 g);2,9;3,35
W.O .Larsen A True Delight (50 g);5,9;6,8
W.O .Larsen Simply Unique (50 g);5,9;6,8
W.O. Larsen 150 Annivers. (100 g);11,6;13,35
W.O. Larsen 1864 (100 g);17,8;20,45
W.O. Larsen Classic (100 g);17,8;20,45
W.O. Larsen Craftsman Edition 2018 (100 g);18;20,7
W.O. Larsen Edición Limitada 2019 (100 g);19;21,85
W.O. Larsen Edición Limitada 2020 (100 g);20;23
W.O. Larsen Edition 2013 (100 g);11,3;13
W.O. Larsen Edition 2014 (100 g);11,6;13,35
W.O. Larsen Edition 2015 (100 g);13;14,95
W.O. Larsen Edition 2016 (100 g);14,95;17,2
W.O. Larsen Edition 2017 (100 g);18;20,7
W.O. Larsen Edition 2018 (100 g);19;21,85
W.O. Larsen Fresh & Elegant (50 g);5,9;6,8
W.O. Larsen M.B.Golden Dream (50 g);5,9;6,8
W.O. Larsen M.B.Mellow Mix (50 g);5,9;6,8
W.O. Larsen M.B.Sweet Arom (50 g);5,9;6,8
W.O. Larsen Mellow & Tasty (50 g);5,9;6,8
W.O. Larsen Old Fashion (100 g);17,8;20,45
W.O. Larsen Signature (100 g);17,8;20,45
Wazir Apple Flavour (50 g);1,5;1,7
Wazir Capuccino Flavour (50 g);1,1;1,25
Wazir Grapes Flavour (50 g);1,1;1,25
Wazir Mint Flavour (50 g);1,1;1,25
Wazir Orange Flavour (50 g);1,1;1,25
Wazir Strawberry Flavour (50 g);1,1;1,25
Wazir Tutti Frutti Flavour (50 g);1,1;1,25
Wazir Two Apples Flavour (50 g);1,1;1,25
Wessex Brown Flake (50 g);19;21,85
Wessex Burley Flake (EX) (50 g);15,5;17,8
Wessex Director's Choice (50 g);17,5;20,1
Wessex Gold Flake (50 g);17;19,55
Wessex Red Flake (50 g);15,5;17,8
Wessex Tradition (50 g);15,5;17,8
WO Larsen Wøl Edition 2023 (100 g);20,15;23,15
WØL Edition 2021 (100 g);20;23
WØL Edition 2022 (100 g);20,1;23,1
WØL Edition 2024 (100 g);20,5;23,6
Wøl Edition 2025 (100 g);24,5;28,2
Zain Blue Blue (50 g);2,9;3,35
Zain Citras (50 g);2,9;3,35
Zain Froot (50 g);2,9;3,35
Zain Gom (50 g);2,9;3,35
Zain Mago (50 g);2,9;3,35
Zain Malmo (50 g);2,9;3,35
Zain New Green (50 g);2,9;3,35
Zain Pasion Froot (50 g);2,9;3,35
Zain Water Mlon (50 g);2,9;3,35
Zain Yellow Lenon (50 g);2,9;3,35
Ziggy Brazilian Gold (50 g);3,6;4,15
Ziggy Green Hapocalyx (50 g);3,6;4,15
Ziggy Love Diamond (50 g);3,6;4,15
Ziggy Lust Crown (50 g);3,6;4,15
Ziggy Purple Starburst (50 g);3,6;4,15
Ziggy Rainbow Blast (50 g);3,6;4,15
Ziggy Red Starburst (50 g);3,6;4,15
Ziggy Rubi Shade (50 g);3,6;4,15
Ziggy Summer Sunrise (50 g);3,6;4,15
Ziggy Tropical (50 g);3,6;4,15
Zomo Bana Cin (50 g);3,2;3,7
Zomo Carneiros (200 g);14;16,1
Zomo Carneiros (50 g);3,7;4,25
Zomo Copacabana (200 g);14;16,1
Zomo Copacabana (50 g);3,7;4,25
Zomo Dragon Wall (50 g);3,2;3,7
Zomo Dry Sahara (50 g);3,2;3,7
Zomo Florianópolis (200 g);14;16,1
Zomo Florianópolis (50 g);3,7;4,25
Zomo Genipabu (200 g);14;16,1
Zomo Genipabu (50 g);3,7;4,25
Zomo Grumari (200 g);14;16,1
Zomo Grumari (50 g);3,7;4,25
Zomo Guarujá (200 g);14;16,1
Zomo Guarujá (50 g);3,7;4,25
Zomo Gunga (200 g);14;16,1
Zomo Gunga (50 g);3,7;4,25
Zomo Ipamena (200 g);14;16,1
Zomo Ipamena (50 g);3,7;4,25
Zomo Jericoacoara (200 g);14;16,1
Zomo Jericoacoara (50 g);3,7;4,25
Zomo Ki Lem (50 g);3,2;3,7
Zomo Lim Lemo (50 g);3,2;3,7
Zomo Lopes Mendes (200 g);14;16,1
Zomo Lopes Mendes (50 g);3,7;4,25
Zomo Mystery of Bali (50 g);3,2;3,7
Zomo Santa Catarina (200 g);14;16,1
Zomo Santa Catarina (50 g);3,7;4,25
Zomo Secret of Babylon (50 g);3,2;3,7
Zomo Spiced Chy (50 g);3,2;3,7
Zomo Splash Tang (50 g);3,2;3,7
Zomo Strong Lim (50 g);3,2;3,7
Zomo Strong MLN (50 g);3,2;3,7
Zomo Strong Mnt (100 g);6,2;7,15
Zomo Strong Orng (100 g);6,2;7,15
Zomo Swiss Alps (50 g);3,2;3,7
Zomo Tropical Amazon (100 g);6,2;7,15
Zomo Ubatuba (200 g);14;16,1
Zomo Ubatuba (50 g);3,7;4,25
Zomo Wild Africa (50 g);3,2;3,7
Zomo Wtrmln Mnt (100 g);6,2;7,15
